
****

ttH - DONE SR, fake, flip
Oct19v1_Data_2016_MuonEG_BlockB --> 3,19,200
Oct19v1_Data_2016_MuonEG_BlockC --> 3,8,74
Oct19v1_Data_2016_MuonEG_BlockD --> 5,15,123
Oct19v1_Data_2016_MuonEG_BlockE --> 6,13,121
Oct19v1_Data_2016_MuonEG_BlockF --> 1,11,93
Oct19v1_Data_2016_MuonEG_BlockG --> 5,17,252
Oct19v1_Data_2016_MuonEG_BlockH --> 13,24,220

// 2017  - DONE SR, fake, flip

Oct19v1_Data_2017_SingleElectron_BlockB --> 9,9,195
Oct19v1_Data_2017_SingleElectron_BlockC --> 10,25,485
Oct19v1_Data_2017_SingleElectron_BlockD --> 6,10,211
Oct19v1_Data_2017_SingleElectron_BlockE --> 13,21,420
Oct19v1_Data_2017_SingleElectron_BlockF --> 10,21,531

Oct19v1_Data_2017_SingleMuon_BlockB --> 8,16,130
Oct19v1_Data_2017_SingleMuon_BlockC --> 13,29,339
Oct19v1_Data_2017_SingleMuon_BlockD --> 12,14,133
Oct19v1_Data_2017_SingleMuon_BlockE --> 12,24,266
Oct19v1_Data_2017_SingleMuon_BlockF --> 18,42,355

Oct19v1_Data_2017_DoubleEG_BlockB --> 5,6,104
Oct19v1_Data_2017_DoubleEG_BlockC --> 8,7,266
Oct19v1_Data_2017_DoubleEG_BlockD --> 3,4,113
Oct19v1_Data_2017_DoubleEG_BlockE --> 6,13,216
Oct19v1_Data_2017_DoubleEG_BlockF --> 7,8,300

Oct19v1_Data_2017_DoubleMu_BlockB --> 3,10,15
Oct19v1_Data_2017_DoubleMu_BlockC --> 11,19,74
Oct19v1_Data_2017_DoubleMu_BlockD --> 6,8,30
Oct19v1_Data_2017_DoubleMu_BlockE --> 7,15,60
Oct19v1_Data_2017_DoubleMu_BlockF --> 13,26,83

Oct19v1_Data_2017_MuonEG_BlockB --> 6,12,144
Oct19v1_Data_2017_MuonEG_BlockC --> 15,37,402
Oct19v1_Data_2017_MuonEG_BlockD --> 9,10,157
Oct19v1_Data_2017_MuonEG_BlockE --> 12,15,296
Oct19v1_Data_2017_MuonEG_BlockF --> 11,31,416

// 2018  - DONE SR, fake, flip

Oct19v1_Data_2018_EGamma_BlockA --> 14,33,673
Oct19v1_Data_2018_EGamma_BlockB --> 8,14,405
Oct19v1_Data_2018_EGamma_BlockC --> 12,15,316
Oct19v1_Data_2018_EGamma_BlockD --> 34,71,1355

Oct19v1_Data_2018_SingleMuon_BlockA --> 23,39,439
Oct19v1_Data_2018_SingleMuon_BlockB --> 11,26,231
Oct19v1_Data_2018_SingleMuon_BlockC --> 16,21,225
Oct19v1_Data_2018_SingleMuon_BlockD --> 56,110,888

Oct19v1_Data_2018_DoubleMu_BlockA --> 17,29,111
Oct19v1_Data_2018_DoubleMu_BlockB --> 9,14,56
Oct19v1_Data_2018_DoubleMu_BlockC --> 7,12,51
Oct19v1_Data_2018_DoubleMu_BlockD --> 32,72,179

Oct19v1_Data_2018_MuonEG_BlockA --> 16,35,502
Oct19v1_Data_2018_MuonEG_BlockB --> 11,22,266
Oct19v1_Data_2018_MuonEG_BlockC --> 14,22,240
Oct19v1_Data_2018_MuonEG_BlockD --> 40,95,1031
